9.000000000000000000e+01 4.330127018922192983e-01
8.713401601740115154e+01 4.922488395110748982e-01
8.426082952273321780e+01 5.401400443403543417e-01
8.137307344132136677e+01 5.849135577160098354e-01
7.846304096718452570e+01 6.279983215542855879e-01
7.552248781407008948e+01 6.700005536378308424e-01
7.254239687627790545e+01 7.112233628579702760e-01
6.951268488527733780e+01 7.518832555656496108e-01
6.642182152179817933e+01 7.921101355714367243e-01
6.325631604959699672e+01 8.319473041455209827e-01
6.000000000000000000e+01 8.715679663686589640e-01
5.663298703076824125e+01 9.109288209706617456e-01
5.313010235415597293e+01 9.500731692217184721e-01
4.945839812649548151e+01 9.890876136622072101e-01
4.557299599919429056e+01 1.027972154292128737e+00
4.140962210927085607e+01 1.066726791111482164e+00
3.686989764584401286e+01 1.105351524120268270e+00
3.178833061705160645e+01 1.143889654588675864e+00
2.584193276316712584e+01 1.182384483786893981e+00
1.819487233876676413e+01 1.220792710444734031e+00
0.000000000000000000e+00 1.259114334562195348e+00
